Year,Region,Economic Category,National Inventory Category,National Inventory Sub-category,National Inventory Sub-sub-category,CO2eq,Unit
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,Frontier Oil Production,Agriculture,Manure Management,,0,Mt
2000,Alberta,Frontier Oil Production,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,Frontier Oil Production,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,Frontier Oil Production,Agriculture,Total,,0,Mt
2000,Alberta,Frontier Oil Production,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,Frontier Oil Production,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,Frontier Oil Production,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Frontier Oil Production,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Frontier Oil Production,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Frontier Oil Production,Waste,Total,,0,Mt
2000,Alberta,Frontier Oil Production,CO2 Captured,Total,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Total,,,23.71838444,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Stationary Combustion,Stationary,14.46328534,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Stationary Combustion,Electricity,2.002634469,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Transport,,0.690878599,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Fugitive (Unintentional),,1.052844872,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Flaring,,0.654730399,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Venting,,4.770164761,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Energy,Total,,23.63453844,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0.083846,Mt
