"REF_DATE","GEO","DGUID","Coal and coke, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-11","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","178","","","","0"
"1946-11","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","3143","","","t","0"
"1946-11","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","4509","","","t","0"
"1946-11","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","290","","","","0"
"1946-11","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","449","","","","0"
"1946-11","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","34","","","","0"
"1946-11","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","178","","","","0"
"1946-11","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","665","","","","0"
"1946-11","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","108","","","","0"
"1946-12","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1428","","","","0"
"1946-12","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","892","","","","0"
"1946-12","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","347","","","","0"
"1946-12","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","189","","","","0"
"1946-12","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1340","","","t","0"
"1946-12","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2674","","","t","0"
"1946-12","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","336","","","","0"
"1946-12","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","409","","","","0"
"1946-12","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","27","","","","0"
"1946-12","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","189","","","","0"
"1946-12","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","689","","","","0"
